# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: Sample-1
# Analysis Time: 2015-10-29 15:11:05
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
27.144,8301.94,312.5,2062.63,840987.0,13745318.220480002,1581291.8114400003,212485.67,10122.966,668590.05
27.501,8301.94,300.0,2062.63,870958.8798240003,13845769.06,1656158.8423360002,216391.59792000003,10503.17,706959.392432
27.858,8301.94,300.0,2062.63,883733.6271360003,13968845.757872004,1690328.1696320004,218239.80820800003,9852.79,721761.806816
28.216,10943.5,300.0,2162.64,895100.3831200002,14030737.744064005,1680842.8998240004,217131.41051200003,11063.536,734717.96
28.573,11984.138,300.0,2162.64,894144.5999200003,14042806.601520006,1636370.1979680005,212398.96377600005,11453.77,732028.592496
28.93,12704.54,300.0,2162.64,886579.8702240002,13963927.361664006,1562058.6393440007,204059.70664000002,11553.84,725879.3082719999
29.287,13505.13,400.0,2187.65,865759.9439040001,13817146.140144005,1465090.1068800003,191772.224144,10653.26,702698.45
29.644,13505.13,400.0,1962.62,844676.602592,13558486.525888005,1352914.583488,180081.28,11603.87,696266.957184
30.001,12504.4,362.5,1962.62,799444.03,13315224.389600005,1234785.4246399999,159864.63,11653.91,684747.0700000001
30.358,12504.4,362.5,1850.11,799444.03,12838467.47,1103889.48,149979.13,11403.74,657820.0
30.715,12504.4,237.5,1850.11,794032.0768000002,12838467.47,973594.23,143111.742,11533.864000000001,657820.0
31.072,11843.996000000001,250.0,1812.6,785012.1548000001,12694940.894192003,933077.04,132340.09,10659.3088,657820.0
31.429,11103.552,175.0,1812.6,775992.2328000001,12572894.486192,933077.04,127857.52,9752.74,652833.7936
31.786,9202.38,175.0,1325.05,754344.42,12450848.078192,916737.7440000001,127857.52,9052.36,650696.848
32.143,8802.18,175.0,1325.05,754344.42,12228235.43,892228.8,127857.52,9602.65,640012.12
32.5,8001.848,175.0,1325.05,754344.42,12205558.705904001,892228.8,126623.76,8502.08,640012.12
32.857,6401.15,175.0,1325.05,754344.42,12090194.175600003,892228.8,126623.76,9302.502,640012.12
33.214,6401.15,175.0,1325.05,754344.42,11977914.053904003,892228.8,126623.76,9102.3944,640012.12
33.571,6401.15,287.5,1325.05,754344.42,11796856.51,892228.8,126623.76,8652.16,640012.12
33.928,6401.15,287.5,1675.09,764496.0288000002,11770365.76232,892228.8,126623.76,9302.49,664046.224
34.285,6401.15,287.5,1675.09,764836.9148000001,11627098.7,892228.8,129771.29,9302.49,680068.96
34.642,8362.044,287.5,1675.09,765177.8008000001,11627098.7,892228.8,129771.29,9302.49,680068.96
34.999,8962.312,287.5,1675.09,756048.85,11627098.7,892228.8,129771.29,9032.354,710285.5706559999
35.356,9562.58,350.0,1675.09,756048.85,11627098.7,1087517.16784,129771.29,8301.98,725197.120656
35.713,9402.49,312.5,2100.14,746801.87,11627098.7,1183749.97176,129771.29,8602.13,744665.0232800001
36.07,9402.49,312.5,2100.14,732931.4,11627098.7,1292075.70176,126699.29,9302.506000000001,754626.71
36.427,8602.08,312.5,2100.14,732931.4,11720396.548528,1349147.6339200002,147155.74,9802.77,754590.4146560001
36.784,10002.81,312.5,2100.14,732931.4,11746790.702208001,1414104.9939200003,168875.26176000002,9802.77,753099.7952
37.141,10903.34,312.5,2375.17,732931.4,11751270.607760001,1398572.95,182606.82,9852.79,746379.3515840002
37.498,10903.34,312.5,2375.17,732931.4,11702323.440976001,1540581.41,207056.49731200002,10253.03,731437.8824960002
37.855,11103.47,312.5,1950.12,732931.4,11603376.133088002,1644630.77544,224649.36096000002,9652.68,721024.4919200002
38.212,9902.76,275.0,1950.12,742914.356,11474692.960960003,1755650.2858720003,241418.73630400002,8802.23,686453.08
38.569,10202.952000000001,275.0,1950.12,744677.56,11295881.5,1852363.1276960005,256839.58,9152.41,686453.08
38.926,8902.23,275.0,1775.1,744677.56,11140911.649088003,1935379.4324640003,266453.69672,9002.33,686453.08
39.283,9802.7,275.0,1775.1,744677.56,10935505.71,1999370.9608320002,271220.201744,8952.31,680687.962
39.64,10082.878,275.0,1775.1,744677.56,10804155.426800001,2042061.6994560002,275549.567744,8552.11,674080.578
39.998,9902.76,275.0,1687.59,738394.4796000002,10533522.89,2063342.8950240007,278232.0396,8552.11,657627.49
40.355,9837.148000000001,275.0,1700.09,725859.79384,10533522.89,2059620.5512000003,278486.41,8552.11,653416.16
40.712,9534.592,212.5,1650.08,718856.3516,10533522.89,2039893.3504160005,275243.5956,7701.71,634081.65
41.069,9162.41,212.5,1650.08,695832.24,10533522.89,2005533.9,268294.555904,9302.49,634081.65
41.426,7901.76,212.5,1650.08,695832.24,10533522.89,1960219.3264480003,261494.80792,9502.6,634081.65
41.783,7301.5,212.5,1675.09,695832.24,10533522.89,1901447.058448,251327.544784,9602.65,634081.65
42.14,7905.7648,212.5,1600.08,695832.24,10722448.98344,1844311.098528,241122.0,9752.74,634081.65
42.497,8121.864,212.5,1600.08,695832.24,10809914.76744,1766215.14,227772.95,8852.26,634081.65
42.854,7701.67,275.0,1600.08,695832.24,10888837.589968001,1719854.1004,227772.95,9282.498000000001,634081.65
43.211,8201.89,275.0,1600.08,689872.9156,10948692.738256004,1629360.71,220454.32880000005,8702.18,652789.35912
43.568,7401.54,275.0,1600.08,687725.068,10982579.834768005,1602824.91,211784.82480000003,8552.11,654471.3916960001
43.925,8281.938,362.5,1600.08,674142.79,10994260.414352003,1554963.4217760004,199164.38731200006,9402.54,657219.4057280002
44.282,8001.8,325.0,2012.62,674142.79,10979350.25,1506577.3606880002,184425.43,9302.5,653233.0532320002
44.639,8902.23,350.0,2012.62,674142.79,10957704.518976003,1447004.9519520001,176996.72216000003,8952.31,641450.2716160001
44.996,8602.08,312.5,2212.65,674142.79,10926757.28,1376366.1634720003,160797.95,9402.54,627642.9029120002
45.353,8602.08,275.0,1950.12,674142.79,10881340.09,1296542.4767840002,157947.62,9072.374,601061.15
45.71,8602.08,287.5,1950.12,674142.79,10881340.09,1215614.35,152147.43,9002.33,595491.81
46.067,8602.08,262.5,1800.1,687059.444,10851250.70792,1116635.57,147606.23600000003,8352.01,595491.81
46.424,9802.7,262.5,1800.1,688658.1528,10806972.732944,1106810.57,139872.38,9402.566,595491.81
46.781,9822.73,262.5,1687.59,694029.51,10739280.163568001,1060164.87,136597.07,9402.5632,590026.3420000001
47.138,9802.7,262.5,1687.59,694029.51,10622207.191568,1006622.74,133448.33,8902.28,581828.14
47.495,9802.7,262.5,1687.59,694029.51,10514360.221072001,986439.54,132642.36,9637.48376,581828.14
47.852,9202.38,187.5,1687.59,694029.51,10295975.23,986439.54,132642.36,9652.68,581828.14
48.209,8702.13,187.5,1687.59,707390.838,10295975.23,986439.54,132642.36,9926.8456,581828.14
48.566,9202.38,187.5,1687.59,704793.0398080001,10295975.23,986439.54,132642.36,9972.888,581828.14
48.923,9202.38,187.5,1812.6,708291.0905600002,10295975.23,986439.54,132642.36,9152.41,581828.14
49.28,9602.59,187.5,1687.59,704190.6568800001,10295975.23,986439.54,132642.36,8952.31,581828.14
49.637,9102.33,187.5,1687.59,691454.4781280002,10295975.23,986439.54,132642.36,10002.88,591022.9060000001
49.994,9302.43,287.5,1675.09,681751.9540160001,10295975.23,998824.308,143589.0,10753.33,591079.612
50.351,9822.724,287.5,1675.09,659709.32,10358340.076,1007080.82,147752.252,10853.39,591136.3180000001
50.708,10302.99,287.5,1675.09,659778.47,10379128.358000001,1007080.82,150886.76,10253.03,582111.67
51.065,9602.59,287.5,1675.09,659778.47,10399916.64,1007080.82,153458.62,10253.03,582111.67
51.422,9602.59,287.5,1675.09,659778.47,10399916.64,1007080.82,153458.62,10253.03,582111.67
51.78,10323.008000000002,287.5,1675.09,659778.47,10399916.64,1007080.82,158861.42579200002,9652.716,582111.67
52.137,10323.008000000002,237.5,1675.09,659778.47,10468465.590752002,1007080.82,161582.56816000002,8602.13,571737.06
52.494,10403.04,237.5,2075.13,659778.47,10488073.260432001,997180.04,164039.33680000002,8151.91,571737.06
52.851,9602.59,237.5,2012.62,675408.688,10490222.146096002,1171155.331712,161295.17536,8560.444128000001,571737.06
53.208,10403.04,237.5,1787.6,680549.82,10455100.045360003,1260703.4960000003,159651.454432,8823.86664,571737.06
53.565,10403.04,237.5,1787.6,690052.044,10367806.12528,1362221.2438880003,151315.4,8101.89,571737.06
53.922,10403.04,237.5,1787.6,689150.2123199999,10281734.041488001,1431635.1590240002,159133.12,9350.541200000001,571737.06
54.279,10403.04,350.0,1787.6,690979.0212000001,10092371.32,1486691.9813600003,169422.53736000002,8848.595296000001,571737.06
54.636,9902.76,312.5,1587.58,681839.04168,10092371.32,1520507.5501280003,177795.22280000005,9186.05528,577288.8472000001
54.993,9562.614,312.5,1587.58,674073.52,10092371.32,1540569.7918400003,182939.04064000002,8101.89,577156.9332
