# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: STD-2
# Analysis Time: 2015-10-29 15:25:12
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
35.356,6443429.83,134124.51,870030.49,202731.4,3202693.7020000005,303801.67,38541.68,671636.34,1101585.05
35.714,6385795.705200001,134124.51,863021.7084,202731.4,3185542.4140000003,303801.67,38541.68,671636.34,1101585.05
36.071,6334668.339120001,134111.92,852126.6684000001,202731.4,3134088.55,303801.67,38541.68,671636.34,1094490.1344
36.428,6263323.19,133582.58,838403.8164000001,202731.4,3134088.55,298888.2,38541.68,671636.34,1082565.24512
36.785,6214132.912944,130419.64,815555.29,199038.53160000002,3134088.55,294578.174,38541.68,671938.15,1069018.5452
37.142,6170893.372400001,127660.42,801416.23,197749.738,3117295.698,282251.54,38541.68,668207.78,1050771.1802400001
37.499,6070761.07,127118.72,795420.33,189248.72,3100502.846,282251.54,37364.18,668207.78,1018552.43
37.856,6070761.07,127118.72,795420.33,189248.72,3050124.29,282251.54,37364.18,668207.78,1018552.43
38.213,6070761.07,127118.72,795420.33,186890.27,3050124.29,282251.54,37364.18,668207.78,1018552.43
38.57,6070761.07,127118.72,795420.33,186890.27,3021966.576752,282251.54,37364.18,668207.78,1018552.43
38.927,6070761.07,127118.72,790025.6192,186890.27,3003787.44184,282251.54,37364.18,663100.4060000001,1011905.7703680003
39.284,6070761.07,124813.53,782100.23088,186890.27,2955330.3402240006,279184.382,37364.18,651984.4498400001,1003476.8123680003
39.641,6050852.280016001,123667.31,770443.1208800001,184297.40199999997,2897859.4382240004,276664.92,37624.808000000005,642670.91,993748.0898400003
39.998,6039260.25024,119467.062,761188.0992,181401.308,2856788.9774400005,271181.61,37098.744000000006,627950.1212,976407.64
40.355,5999793.92224,114123.07,737134.78,172409.8,2750693.03,260659.62,34733.86,613131.5168,955791.8136160001
40.712,5951542.489696,111756.79,737134.78,172409.8,2750693.03,260659.62,34733.86,583900.01,940085.5250400001
41.069,5873429.43,111756.79,730351.2280000001,172409.8,2750693.03,256602.032,34733.86,583900.01,906755.42
41.426,5853580.002928,111756.79,720175.9,172409.8,2750693.03,250515.65,33130.81,583900.01,906755.42
41.783,5780495.972928,111756.79,720175.9,172409.8,2739264.031504,250515.65,32855.29,583900.01,906755.42
42.14,5701449.124384,111756.79,720175.9,172409.8,2735112.146,250515.65,32855.29,583900.01,903347.03
42.497,5567924.0423840005,111756.79,720175.9,172409.8,2709128.9215200003,250515.65,32855.29,578135.596,903347.03
42.854,5447217.368255999,111756.79,720175.9,167529.5,2679927.12688,246731.63,32855.29,572371.182,894793.0700000001
43.211,5205804.02,111958.16,711611.54,167529.5,2647464.71,242947.61,32855.29,555077.94,881962.13
43.568,5205804.02,111958.16,704648.1108,167529.5,2616059.3752800003,231595.55,33030.62,555077.94,881962.13
43.925,5205804.02,111958.16,695577.062,164770.548,2566305.6132960003,231595.55,33030.62,555077.94,881962.13
44.282,5205804.02,110382.76200000002,684264.5120000001,160632.12,2527522.253296,231595.55,33030.62,555077.94,874030.8156000001
44.639,5188511.15256,107012.6,662425.94,160632.12,2453547.91,231595.55,33281.08,555077.94,868395.138
44.996,5148540.028448001,106459.0,655048.79,158075.67,2453547.91,231595.55,33281.08,555077.94,855872.55
45.353,5104887.314560001,103460.248,655048.79,155426.056,2425009.938,231595.55,31728.25,551240.97,840216.75
45.71,5048134.480048001,98685.32,649730.9040000001,150173.41,2382202.98,231595.55,31728.25,540787.71,817755.75
46.067,4987540.450560001,98685.32,644788.88,150173.41,2382202.98,232777.48,31728.25,540787.71,817755.75
46.424,4887195.302208001,98685.32,638719.27,150173.41,2370208.3663040004,229732.28720000002,30776.58,529203.5136000001,809271.8700000001
46.781,4811685.622400001,98685.32,632755.58,146879.01,2365887.8864,227342.80600000004,30776.58,524238.858,796546.05
47.138,4669370.03,98685.32,616214.22,146879.01,2338545.0051200003,224168.12,30776.58,504932.53,796546.05
47.496,4631191.9,98685.32,616214.22,146879.01,2320060.9332000003,214213.47,29900.09,504932.53,787193.626
47.853,4617115.576448001,98685.32,610358.92,146879.01,2272152.98,214213.47,29900.09,498895.85000000003,773164.99
48.21,4593757.786080001,97078.386,603981.17,146677.33,2263118.214,214213.47,29399.26,491893.44800000003,773164.99
48.567,4560066.266160001,96082.34,593752.822,146677.33,2223297.2368,210598.33040000004,29399.26,474749.13,766404.5596
48.924,4489488.393328001,92800.9,583491.71,144271.07400000002,2194894.58,208548.11200000002,28382.656,469920.52,756605.0676000001
49.281,4449190.22824,89884.63,571761.54,140661.69,2153269.19,201803.13,27270.87,469304.21,744170.5290400002
49.638,4342166.5,89884.63,571761.54,140661.69,2102066.45,198803.05,26444.63,469304.21,724167.53
49.995,4342166.5,89884.63,561365.162,140661.69,2102066.45,198803.05,26444.63,464869.19360000006,724167.53
50.352,4305337.899680001,89884.63,556237.71,136025.35,2075724.4200000002,198803.05,26444.63,462115.29,724167.53
50.709,4271178.36768,88090.02200000001,535303.48,136025.35,2046590.28,198803.05,26444.63,454318.048,724202.36
51.066,4224408.055680001,85398.11,535303.48,133875.59,2025832.47,195984.6268,26444.63,441540.44,716671.358
51.423,4171368.84,85398.11,535303.48,133875.59,2022034.42,194752.654,26444.63,437079.75,709154.2880000001
51.78,4108314.94,84191.85,535303.48,133875.59,1995560.123712,188761.33,26444.63,437079.75,686582.18
52.137,4092482.12,84191.85,535303.48,133875.59,1976193.00816,188761.33,26654.982000000004,437079.75,686582.18
52.494,4074409.2158720004,84066.21,535303.48,128838.06,1938979.373792,187683.4,26259.416000000005,436413.34,686582.18
52.851,4057970.817040001,84066.21,528956.8616800001,128838.06,1907516.443792,184275.34599999996,24667.08,436413.34,682696.3
53.208,4005967.848560001,82219.34,524521.1732000001,121888.68,1848485.39,178624.3,24466.8,430672.71,682696.3
53.565,3950819.6597600006,82219.34,514352.6952,121888.68,1848485.39,178624.3,23440.42,430672.71,677639.084848
53.922,3874598.6383520006,82219.34,501090.54,119660.292,1848485.39,178624.3,23440.42,425017.302,670908.5648480001
54.279,3816741.1760000004,80460.73199999999,484461.09,116317.71,1848485.39,176166.67,23440.42,416534.19,664140.74424
54.636,3676865.71,77822.82,474396.35,116317.71,1839831.3672000002,170747.66,23290.22,416534.19,649043.7
54.993,3676865.71,77822.82,474396.35,116317.71,1834794.3760000002,167214.38,22839.64,412111.36600000004,643762.6812
55.35,3676865.71,77132.05,474396.35,116317.71,1818906.29,167214.38,22839.64,405477.13,631740.51
55.707,3676865.71,77132.05,474396.35,116317.71,1809609.42,167214.38,22839.64,400121.1536,619750.236
56.064,3676865.71,75424.09,474396.35,116317.71,1789313.0951200002,163076.27,22989.84,395331.642,593113.23
56.421,3659076.718704,75424.09,472054.8,116317.71,1774604.0636,163076.27,22989.84,382208.5,593113.23
56.778,3638753.3942560004,74105.56,466633.704,116151.81360000002,1744915.66,163076.27,22689.45,378018.32,593113.23
57.135,3600657.2982560005,74105.56,455184.81320000003,113273.89632000003,1723364.2668,160442.352,22689.45,373271.9984,587216.784
57.492,3562561.2022560006,72021.452,448794.92199999996,110979.49632000003,1689165.1229600003,159356.76,22489.2,368633.81200000003,581320.338
57.849,3486385.23,68895.29,428628.62,104845.71,1652508.04,153626.19,22364.04,359481.04,563631.0
58.206,3486385.23,68895.29,428628.62,104845.71,1625605.21,153928.8,20987.36,349633.06,563631.0
58.563,3473711.8617600007,68895.29,428628.62,104845.71,1625605.21,153928.8,20962.34,349633.06,563631.0
58.92,3441124.4536800007,68895.29,428628.62,104845.71,1616802.5118400003,153928.8,20962.34,349633.06,563631.0
59.278,3407270.734336001,68895.29,428628.62,104845.71,1609756.5592000003,153928.8,20962.34,349633.06,558109.2420000001
59.635,3357086.8139840006,67941.29,421222.176,103806.24,1587799.0280640004,151312.34,20787.13,349633.06,552587.484
59.992,3317116.6332800006,65016.91,417174.52,102766.81,1571044.1992800003,150191.0,20186.44,345125.26200000005,536022.21
60.349,3222792.26,63950.19,403050.5,97972.84,1543951.5,144584.3,20036.27,337904.43,530721.6496
60.706,3197162.9917760002,63950.19,403050.5,97000.78,1523095.8712000002,144584.3,19811.02,337904.43,522819.53400000004
61.063,3153963.6800000006,63950.19,399047.33400000003,97000.78,1497028.878,144584.3,18609.72,337904.43,506156.81
61.42,3082365.11,63950.19,398772.15,95030.204,1448288.61,144584.3,18609.72,330616.17,499874.23
61.777,3056597.896,63950.19,387313.02,92074.34,1450641.73,144584.3,18609.72,330616.17,499874.23
